instance_name,n,p,k,ntoll,seed,method,upper_level_objective,total_time,iterations,objective_value,fail
n4_p21_k2_ntoll20_seed14,4,21,2,20,14,enhanced,nonlinear,0.009360074996948242,1,20.0,
n4_p26_k1_ntoll23_seed58,4,26,1,23,58,consensus,nonlinear,0.0017170906066894531,0,3.6250000000000004,
n4_p26_k1_ntoll23_seed58,4,26,1,23,58,enhanced,nonlinear,0.004514932632446289,1,10.0,
n4_p33_k1_ntoll19_seed60,4,33,1,19,60,consensus,nonlinear,0.0015711784362792969,0,0,
n4_p33_k1_ntoll19_seed60,4,33,1,19,60,enhanced,nonlinear,0.002137899398803711,0,0,
n4_p22_k2_ntoll23_seed13,4,22,2,23,13,consensus,nonlinear,0.07726526260375977,0,0.0,
n4_p22_k2_ntoll23_seed13,4,22,2,23,13,enhanced,nonlinear,0.012217044830322266,0,0.0,
n4_p40_k3_ntoll15_seed12,4,40,3,15,12,consensus,nonlinear,0.004871845245361328,0,0,
n4_p40_k3_ntoll15_seed12,4,40,3,15,12,enhanced,nonlinear,0.005326032638549805,0,0,
n4_p25_k2_ntoll22_seed62,4,25,2,22,62,consensus,nonlinear,0.010308027267456055,1,3.931311881188119,
n4_p25_k2_ntoll22_seed62,4,25,2,22,62,enhanced,nonlinear,0.009975910186767578,1,10.0,
n4_p32_k1_ntoll17_seed49,4,32,1,17,49,consensus,nonlinear,0.0022568702697753906,0,0,
n4_p32_k1_ntoll17_seed49,4,32,1,17,49,enhanced,nonlinear,0.0024781227111816406,0,0,
n4_p32_k2_ntoll22_seed37,4,32,2,22,37,consensus,nonlinear,1.0494439601898193,260,1.9354816545495637,
n4_p32_k2_ntoll22_seed37,4,32,2,22,37,enhanced,nonlinear,0.5171248912811279,97,1.9290977429169098,
n5_p37_k3_ntoll22_seed20,5,37,3,22,20,unknown,nonlinear,,,,No path exists between 3 and 5
n4_p29_k1_ntoll15_seed75,4,29,1,15,75,consensus,nonlinear,0.0016148090362548828,0,0,
n4_p29_k1_ntoll15_seed75,4,29,1,15,75,enhanced,nonlinear,0.002187967300415039,0,0,
n4_p30_k1_ntoll15_seed75,4,30,1,15,75,consensus,nonlinear,0.0015223026275634766,0,0,
n4_p30_k1_ntoll15_seed75,4,30,1,15,75,enhanced,nonlinear,0.0021550655364990234,0,0,
n5_p36_k3_ntoll17_seed8,5,36,3,17,8,consensus,nonlinear,0.02857518196105957,1,3.8271452145214524,
n5_p36_k3_ntoll17_seed8,5,36,3,17,8,enhanced,nonlinear,0.7092921733856201,70,8.528160460652531,
n4_p25_k1_ntoll24_seed9,4,25,1,24,9,consensus,nonlinear,0.0015840530395507812,0,0.0,
n4_p25_k1_ntoll24_seed9,4,25,1,24,9,enhanced,nonlinear,0.002557039260864258,0,0.0,
n4_p32_k1_ntoll24_seed32,4,32,1,24,32,consensus,nonlinear,0.023582935333251953,0,2.986751513444388,
n4_p32_k1_ntoll24_seed32,4,32,1,24,32,enhanced,nonlinear,0.37198305130004883,89,3.079445761101478,
n4_p39_k1_ntoll21_seed85,4,39,1,21,85,consensus,nonlinear,0.0014410018920898438,0,0,
n4_p39_k1_ntoll21_seed85,4,39,1,21,85,enhanced,nonlinear,0.0018880367279052734,0,0,
n5_p28_k1_ntoll25_seed92,5,28,1,25,92,consensus,nonlinear,0.051114797592163086,0,3.625070793454721,
n5_p28_k1_ntoll25_seed92,5,28,1,25,92,enhanced,nonlinear,0.01602792739868164,1,10.0,
n5_p27_k2_ntoll21_seed17,5,27,2,21,17,consensus,nonlinear,0.11392998695373535,1,3.9317157245486927,
n5_p27_k2_ntoll21_seed17,5,27,2,21,17,enhanced,nonlinear,0.9151821136474609,100,11.16883502520437,
n5_p34_k2_ntoll16_seed2,5,34,2,16,2,consensus,nonlinear,0.08437108993530273,0,0.0,
n5_p34_k2_ntoll16_seed2,5,34,2,16,2,enhanced,nonlinear,1.5495941638946533,103,0.13753656519302113,
n5_p39_k3_ntoll16_seed10,5,39,3,16,10,consensus,nonlinear,0.12877488136291504,1,3.8277488905944574,
n5_p39_k3_ntoll16_seed10,5,39,3,16,10,enhanced,nonlinear,0.02647089958190918,1,10.0,
n4_p36_k2_ntoll17_seed45,4,36,2,17,45,consensus,nonlinear,0.002682209014892578,0,0,
n4_p36_k2_ntoll17_seed45,4,36,2,17,45,enhanced,nonlinear,0.003340005874633789,0,0,
n4_p27_k2_ntoll19_seed21,4,27,2,19,21,consensus,nonlinear,0.0030748844146728516,0,0,
n4_p27_k2_ntoll19_seed21,4,27,2,19,21,enhanced,nonlinear,0.0038580894470214844,0,0,
n5_p37_k3_ntoll19_seed79,5,37,3,19,79,consensus,nonlinear,0.25173306465148926,1,7.65467243355495,
n5_p37_k3_ntoll19_seed79,5,37,3,19,79,enhanced,nonlinear,1.246088981628418,84,14.864668694041772,
n4_p37_k2_ntoll25_seed14,4,37,2,25,14,consensus,nonlinear,0.008335113525390625,1,3.931311881188119,
n4_p37_k2_ntoll25_seed14,4,37,2,25,14,enhanced,nonlinear,0.009316682815551758,1,10.0,
n4_p28_k1_ntoll16_seed96,4,28,1,16,96,consensus,nonlinear,0.001628875732421875,0,0,
n4_p28_k1_ntoll16_seed96,4,28,1,16,96,enhanced,nonlinear,0.002161264419555664,0,0,
n4_p28_k2_ntoll24_seed27,4,28,2,24,27,consensus,nonlinear,0.055114030838012695,0,0.0,
n4_p28_k2_ntoll24_seed27,4,28,2,24,27,enhanced,nonlinear,0.837454080581665,102,0.5308179886806289,
n5_p26_k3_ntoll25_seed34,5,26,3,25,34,consensus,nonlinear,0.3335108757019043,1,7.654143223653742,
n5_p26_k3_ntoll25_seed34,5,26,3,25,34,enhanced,nonlinear,0.30357980728149414,16,20.0,
n5_p28_k1_ntoll16_seed82,5,28,1,16,82,consensus,nonlinear,0.0035190582275390625,0,0.0,
n5_p28_k1_ntoll16_seed82,5,28,1,16,82,enhanced,nonlinear,0.00434422492980957,0,0.0,
n5_p28_k1_ntoll15_seed43,5,28,1,15,43,consensus,nonlinear,0.01410222053527832,0,3.6249999998379323,
n5_p28_k1_ntoll15_seed43,5,28,1,15,43,enhanced,nonlinear,0.007143974304199219,1,10.0,
n4_p40_k2_ntoll17_seed95,4,40,2,17,95,consensus,nonlinear,0.003393888473510742,0,0,
n4_p40_k2_ntoll17_seed95,4,40,2,17,95,enhanced,nonlinear,0.0041272640228271484,0,0,
n5_p37_k3_ntoll21_seed72,5,37,3,21,72,consensus,nonlinear,0.06853795051574707,0,0.0,
n5_p37_k3_ntoll21_seed72,5,37,3,21,72,enhanced,nonlinear,0.015198945999145508,0,0.0,
n4_p23_k1_ntoll17_seed70,4,23,1,17,70,consensus,nonlinear,0.0020821094512939453,0,0,
n4_p23_k1_ntoll17_seed70,4,23,1,17,70,enhanced,nonlinear,0.0023899078369140625,0,0,
n4_p31_k3_ntoll23_seed19,4,31,3,23,19,consensus,nonlinear,0.04561805725097656,0,0.0,
n4_p31_k3_ntoll23_seed19,4,31,3,23,19,enhanced,nonlinear,0.010591983795166016,0,0.0,
n5_p24_k1_ntoll19_seed47,5,24,1,19,47,consensus,nonlinear,0.03505086898803711,0,0.0,
n5_p24_k1_ntoll19_seed47,5,24,1,19,47,enhanced,nonlinear,0.012773752212524414,0,0.0,
n4_p31_k1_ntoll25_seed32,4,31,1,25,32,consensus,nonlinear,0.023394107818603516,0,2.986751513444388,
n4_p31_k1_ntoll25_seed32,4,31,1,25,32,enhanced,nonlinear,0.37146711349487305,89,3.079445761101478,
n4_p31_k3_ntoll21_seed80,4,31,3,21,80,consensus,nonlinear,0.054766178131103516,1,3.8282143482001696,
n4_p31_k3_ntoll21_seed80,4,31,3,21,80,enhanced,nonlinear,0.8624849319458008,87,5.141581568687314,
n4_p27_k1_ntoll17_seed53,4,27,1,17,53,consensus,nonlinear,0.0015900135040283203,0,0,
n4_p27_k1_ntoll17_seed53,4,27,1,17,53,enhanced,nonlinear,0.0021638870239257812,0,0,
n4_p25_k3_ntoll20_seed53,4,25,3,20,53,consensus,nonlinear,0.03250598907470703,1,3.827481934064838,
n4_p25_k3_ntoll20_seed53,4,25,3,20,53,enhanced,nonlinear,0.016033172607421875,1,10.0,
n4_p28_k1_ntoll16_seed49,4,28,1,16,49,consensus,nonlinear,0.0018558502197265625,0,0,
n4_p28_k1_ntoll16_seed49,4,28,1,16,49,enhanced,nonlinear,0.0026001930236816406,0,0,
n4_p35_k1_ntoll18_seed59,4,35,1,18,59,consensus,nonlinear,0.0019073486328125,0,0,
n4_p35_k1_ntoll18_seed59,4,35,1,18,59,enhanced,nonlinear,0.002109050750732422,0,0,
n5_p29_k1_ntoll18_seed4,5,29,1,18,4,consensus,nonlinear,0.03950381278991699,0,0.0,
n5_p29_k1_ntoll18_seed4,5,29,1,18,4,enhanced,nonlinear,0.0058290958404541016,0,0.0,
n4_p32_k2_ntoll19_seed9,4,32,2,19,9,consensus,nonlinear,0.003270864486694336,0,0,
n4_p32_k2_ntoll19_seed9,4,32,2,19,9,enhanced,nonlinear,0.0040090084075927734,0,0,
n5_p31_k3_ntoll23_seed52,5,31,3,23,52,consensus,nonlinear,0.05371999740600586,1,9.308207803150282,
n5_p31_k3_ntoll23_seed52,5,31,3,23,52,enhanced,nonlinear,0.027357101440429688,1,20.0,
n5_p20_k1_ntoll19_seed23,5,20,1,19,23,consensus,nonlinear,0.027350664138793945,0,0.0,
n5_p20_k1_ntoll19_seed23,5,20,1,19,23,enhanced,nonlinear,0.011374235153198242,0,0.0,
n5_p21_k1_ntoll24_seed56,5,21,1,24,56,consensus,nonlinear,0.012547016143798828,0,3.6249999981840944,
n5_p21_k1_ntoll24_seed56,5,21,1,24,56,enhanced,nonlinear,0.7750921249389648,84,5.528278848628953,
n5_p30_k2_ntoll24_seed66,5,30,2,24,66,consensus,nonlinear,0.06872701644897461,0,0.0,
