instance,method,time,best_obj
interKP-200-100-1-7,MibS-First,10.0,3050.0
interKP-200-100-1-6,MibS-First,9.0,3795.0
mik-250-1-100-1_50_50,MibS-First,3600,1e+20
rndgraph-80_2-2-2_002,MibS-First,0.0,3.0
plusBCPIns_8_9_1,MibS-First,0.0,6.0
neos-3024952-loue_50_50,MibS-First,3600,1e+20
cod105_50_50,MibS-First,3600,1e+20
2AP05-2,MibS-First,0.0,-17.0
K5030W19.KNP,MibS-First,0.0,11705.0
hp2.dat-100,MibS-First,1.0,3151.0
OR10x250-0.50_4.dat-0,MibS-First,3600,1e+20
pg5_34_50_50,MibS-First,3600,1e+20
OR10x250-0.75_1.dat-100,MibS-First,17.0,102401.0
2AP05-3,MibS-First,0.0,-26.0
satellites2-40_50_50,MibS-First,3600,1e+20
OR5x100-0.25_5.dat-50,MibS-First,4.0,22592.0
OR10x100-0.50_2.dat-0,MibS-First,604.0,34267.0
supportcase40_50_50,MibS-First,3600,1e+20
OR10x500-0.50_1.dat-100,MibS-First,85.0,151252.0
ran16x16_0_100,MibS-First,3600,1e+20
OR5x250-0.75_4.dat-100,MibS-First,20.0,55586.0
K5010W16.KNP,MibS-First,0.0,1098.0
BCPIns_8_9_1.txt_trad.txt_K7,MibS-First,0.0,5.0
OR10x500-0.50_4.dat-0,MibS-First,3600,1e+20
OR30x250-0.75_4.dat-50,MibS-First,3600,1e+20
OR5x500-0.50_4.dat-100,MibS-First,85.0,159973.0
pet7.dat-50,MibS-First,3.0,8825.0
mushroom-best_50_50,MibS-First,3600,1e+20
neos-476283_50_50,MibS-First,3600,1e+20
OR30x500-0.25_7.dat-100,MibS-First,28.0,118761.0
iis-pima-cov_100_0,MibS-First,3600,1e+20
normalClique40-70-6,MibS-First,0.0,10.0
normalClique40-70-7,MibS-First,0.0,10.0
sento1.dat-100,MibS-First,0.0,6320.0
general30-20-20-20-20-6,MibS-First,0.0,299921.0
OR5x500-0.25_3.dat-0,MibS-First,3600,1e+20
sento1.dat-0,MibS-First,0.0,6638.0
OR10x250-0.75_10.dat-0,MibS-First,2514.0,150468.0
general30-20-20-20-20-7,MibS-First,0.0,299903.0
sp98ic_100_0,MibS-First,3600,1e+20
OR5x100-0.25_8.dat-100,MibS-First,1.0,25401.0
OR10x250-0.50_5.dat-50,MibS-First,3600,1e+20
OR5x500-0.75_4.dat-0,MibS-First,3600,1e+20
interKP-300-100-2-7,MibS-First,0.0,10310.0
interKP-100-100-2-2,MibS-First,0.0,1094.0
interKP-100-100-2-3,MibS-First,1.0,1562.0
interKP-300-100-2-6,MibS-First,3.0,8905.0
OR5x250-0.50_6.dat-50,MibS-First,57.0,85683.0
miblp_20_15_50_0110_10_1,MibS-First,0.0,-376.0
interdiction50-8,MibS-First,0.0,2088.0
BCPIns_8_7_8.txt_trad.txt_K5,MibS-First,0.0,3.0
interdiction50-9,MibS-First,0.0,694.0
p0201-0.100000,MibS-First,1.0,13365.0
OR5x250-0.75_4.dat-0,MibS-First,383.0,57100.0
BCPIns_15_7_10.txt_trad.txt_K19,MibS-First,0.0,6.0
OR5x100-0.75_2.dat-0,MibS-First,17.0,23408.0
pb6.dat-100,MibS-First,0.0,1856.0
OR30x100-0.75_1.dat-100,MibS-First,4.0,21896.0
OR5x250-0.25_3.dat-0,MibS-First,2322.0,56308.0
general30-20-10-20-20-1,MibS-First,0.0,200009.0
interKP-100-100-2-10,MibS-First,0.0,4762.0
seymour_100_0,MibS-First,3600,1e+20
interKP-500-100-3-2,MibS-First,9.0,6011.0
OR5x100-0.25_5.dat-0,MibS-First,80.0,21965.0
K5040W09.KNP,MibS-First,1.0,8638.0
interKP-500-100-3-3,MibS-First,22.0,8496.0
OR30x500-0.25_5.dat-50,MibS-First,3600,1e+20
miblp_20_20_50_0110_5_4,MibS-First,0.0,-753.0
weish13.dat-0,MibS-First,0.0,5284.0
weish06.dat-0,MibS-First,0.0,3717.0
general20-20-10-20-20-3,MibS-First,0.0,99738.0
