result,instance,standard_TL,method,status,reason,has_large_scaled,iteration,total_time,master_time,adver_time,best_bound,best_obj,rel_gap,abs_gap,adversarial_unexpected_status,with_heuristic,n_facilities,n_customers,Gamma,blank
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R300__3.txt,120.000000,CG,   Optimal,   Proved,1,9,1951.82,1947.10,4.53,-2173.00,-2173.00,0.00,0.00,,1,15,30,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R300__2.txt,60.000000,CG,   Optimal,   Proved,1,11,1453.89,1444.25,9.49,-4599.00,-4599.00,0.00,0.00,,1,15,20,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R300__3.txt,60.000000,CG,   Optimal,   Proved,1,8,292.94,290.66,2.13,-3069.00,-3069.00,0.00,0.00,,1,10,40,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R200__7.txt,60.000000,CG,   Optimal,   Proved,0,14,44.6884,40.49,4.02144,0,0,0,0,,1,10,30,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C40__R200__8.txt,inf,STD,Infeasible,        -,1,2,10824.2,10823.7,0.413758,1e+20,-3415,2.92826e+18,1e+20,,0,15,40,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R200__4.txt,60.000000,CG,   Optimal,   Proved,1,11,4923.59,4917.84,5.58,-3034.00,-3034.00,0.00,0.00,,0,15,20,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__4.txt,60.000000,CG,   Optimal,   Proved,0,9,1.72653,1.15348,0.498721,-254,-254,3.58069e-13,9.09495e-13,,1,10,20,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R300__9.txt,60.000000,CG,   Optimal,   Proved,1,11,10800.44,10769.07,31.10,-761.00,-442.00,72.17,319.00,,1,15,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R300__8.txt,60.000000,CG,   Optimal,   Proved,1,13,10800.47,10791.25,8.91,-3224.00,-2148.00,50.09,1076.00,,1,15,30,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C30__R200__3.txt,60.000000,CG,   Optimal,   Proved,1,13,5339.46,5283.93,55.13,-2224.00,-2224.00,0.00,0.00,,1,15,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R200__6.txt,120.000000,CG,   Optimal,   Proved,0,13,87.0461,85.0684,1.86707,-200,-200,0,0,,0,10,20,3,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C20__R300__3.txt,60.000000,CG,   Optimal,   Proved,0,9,0.933666,0.538493,0.319863,0,0,0,0,,0,10,20,4,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C40__R200__9.txt,120.000000,CG,   Optimal,   Proved,1,12,2745.67,2669.98,75.43,-1551.00,-1551.00,0.00,0.00,,0,10,40,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F15_C20__R300__8.txt,120.000000,CG,   Optimal,   Proved,1,7,818.06,812.88,5.08,-4584.00,-4584.00,0.00,0.00,,0,15,20,3.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R300__4.txt,120.000000,CG,   Optimal,   Proved,1,16,733.09,730.73,2.11,-280.00,-280.00,0.00,0.00,,1,10,30,4.00,
result,/home/utr_lefebvre/min-max-min-nested-cg/code/data/instance_F10_C30__R200__4.txt,120.000000,CG,   Optimal,   Proved,1,8,461.64,417.82,43.70,-2365.00,-2365.00,0.00,0.00,,1,10,30,4.00,
