instance,problem,approach,n_jobs,gamma,k,time,objective,n_active_col,quality,gap,rule_for_branching
instance_n10_r20_d30_4.txt,2,colgen-ext,10,3,0,16.837,165.000,1,Optimal,0.00000,default
instance_n5_r5_d5_3.txt,2,colgen-ext,5,3,0,0.176,94.000,1,Optimal,0.00000,default
instance_n10_r20_d10_3.txt,2,colgen-ext,10,6,0,5.291,106.000,1,Optimal,0.00000,default
instance_n10_r30_d5_4.txt,2,colgen-ext,10,1,0,1.219,215.000,1,Optimal,0.00000,default
instance_n15_r30_d20_1.txt,2,colgen-ext,15,2,0,307.528,172.676,5,Optimal,0.00000,default
instance_n15_r20_d20_4.txt,2,colgen-ext,15,6,0,97.236,241.000,1,Optimal,0.00000,default
instance_n10_r10_d30_3.txt,2,colgen-ext,10,4,0,177.515,145.000,1,Optimal,0.00000,default
instance_n5_r10_d5_4.txt,2,colgen-ext,5,2,0,0.010,145.000,1,Optimal,0.00000,default
instance_n10_r5_d20_3.txt,2,colgen-ext,10,2,0,3.857,268.945,4,Optimal,0.00000,default
instance_n10_r20_d10_1.txt,2,colgen-ext,10,1,0,1.699,190.000,1,Optimal,0.00000,default
instance_n10_r30_d10_4.txt,2,colgen-ext,10,5,0,5.248,128.000,1,Optimal,0.00000,default
instance_n15_r20_d10_2.txt,2,colgen-ext,15,9,0,5.375,165.000,1,Optimal,0.00000,default
instance_n15_r30_d20_3.txt,2,colgen-ext,15,5,0,20.022,98.000,1,Optimal,0.00000,default
instance_n15_r20_d5_4.txt,2,colgen-ext,15,1,0,1.984,236.000,1,Optimal,0.00000,default
instance_n10_r5_d20_1.txt,2,colgen-ext,10,5,0,9.221,105.000,1,Optimal,0.00000,default
instance_n5_r5_d10_3.txt,2,colgen-ext,5,2,0,0.030,76.000,1,Optimal,0.00000,default
instance_n15_r10_d10_0.txt,2,colgen-ext,15,5,0,58.059,372.000,1,Optimal,0.00000,default
instance_n5_r10_d30_3.txt,2,colgen-ext,5,2,0,7.458,161.000,1,Optimal,0.00000,default
instance_n5_r30_d10_4.txt,2,colgen-ext,5,3,0,0.025,58.000,1,Optimal,0.00000,default
instance_n15_r10_d10_2.txt,2,colgen-ext,15,2,0,39.824,280.748,3,Optimal,0.00000,default
instance_n10_r5_d5_3.txt,2,colgen-ext,10,5,0,3.406,297.000,1,Optimal,0.00000,default
instance_n10_r10_d10_0.txt,2,colgen-ext,10,1,0,2.174,139.000,1,Optimal,0.00000,default
instance_n10_r20_d30_0.txt,2,colgen-ext,10,3,0,29.641,155.798,2,Optimal,0.00000,default
instance_n15_r10_d10_3.txt,2,colgen-ext,15,9,0,6.462,373.000,1,Optimal,0.00000,default
instance_n10_r5_d5_1.txt,2,colgen-ext,10,2,0,2.403,248.000,1,Optimal,0.00000,default
instance_n10_r10_d10_2.txt,2,colgen-ext,10,6,0,2.612,171.000,1,Optimal,0.00000,default
instance_n15_r30_d30_4.txt,2,colgen-ext,15,8,0,18.176,108.000,1,Optimal,0.00000,default
